text,label
im 16 if you want to see my dick snap/kik me at hiya2247 😘 #kik #kikme #snapchat  #snapme #horny #porn #naked #young,1
"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",1
@user but  @user drugged and raped those women. At least you and Barb were sober and consenting!!,0
@user #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,0
@user I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress,3
“Winners are not afraid of losing. But losers are. Failure is part of the process of success. People who avoid failure also avoid success.',2
Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness,2
Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating.  #smrtruinslives,0
@user @user I couldn't care less about #GOTHAM. I haven't watched it since the mid point of season 1. #horrible,3
Thoroughly enjoying AHS tonight. #ahs #horror #americanhorrorstory,1
@user sorry to upset u madam.If you have got any queries don't hesitate to contact our PR department.In the meantime do you fancy a beer?,2
On the last episode of #MakingAMurderer poor Brendan glad they #appeal it  #crime #documentary #reallife,1
"@user *Baal dashed forward, boosted forward by her power of flight. Her sword pointed at Void, meant to stop just short of her--",2
Muscled man with huge heart is messing with my brain and heart. #lost #confused,3
"Holding a grudge on someone will stop your blessings from God ,learn to forgive &amp; forget 🙏🏾",2
Just feel awkward that I'm being timid to everyone.,3
Stk is expensive but i'f rather take a bigger female there than tiff. You all see how slim she is and how she loves to eat.,1
"@user Start w/ the 3 songs in Blue Neighborhood\n1) Wild\n2)Fools\n3)Talk Me down 😭😭for #Wesper\nAlso,\n4)Too Good.  #serious kaz/inej feelz",1
"I feel so blessed to work with the family that I nanny for ❤️ nothing but love &amp; appreciation, makes me smile.",1
"Just Laying Here, Can't Sleep 4 Some Reason",3
@user @user he has BAD TEMPERAMENT #tantrums #HissyFits,0
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,3
@user yes Hun! Avoid at all costs!!,0
"Everywhere I go, the air I breathe in tastes like home.' - @user #restless",3
Try to find the good in the negative. The negative can turn out to be good.\n #anxietyrelief  #openminded,2
"Nice to see Balotelli back to his best, good player.. Just lost his way a bit!",1
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,3
@user @user Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,0
"@user + returned her joyous focus to the pastel-haired girl. 'Wawa's okay, tooooo~!' She squealed before raising her eyebrows at the +",1
@user peanut butter???? You some kinda pervert?? #awful,0
Watch this amazing live.ly broadcast by @user  #musically,1
"And I would advise that everyone wait to watch @user ,or actually don't wait, just don't even watch it because it is",2
"@user your gunna make me cry, I need a glee day",3
Watching driven by food and @user going to Devon Ave to eat nihari makes me gleeful af,1
